design,n,d,s,lambda,exact_hoffman,lower_bound,upper_bound,weyl_bound,lambda_min_AA,condition_number_AA,true_interaction_norm,interaction_norm_bound,max_leverage,inactive_leverage_sum,active_amplification,lower_gap,upper_gap,weyl_gap,lower_ratio,upper_ratio,weyl_ratio
Orthonormal,300,30,15,0.2,5.0,5.0,5.000000000000001,5.000000000000004,0.9999999999999989,1.0000000000000009,1.9302984853682923e-16,5.116973453587271e-16,2.886840591306841e-32,2.618341732471678e-31,1.0000000000000022,0.0,8.881784197001252e-16,4.440892098500626e-15,1.0,1.0000000000000002,1.0000000000000009
Gaussian,300,600,15,0.2,10.031406212013408,5.0,17.07452269661672,inf,0.698421112555351,1.8280641582180805,1.6866203150691776,6.0451237669376345,0.10894199123467868,28.622107002728406,1.2767586032052336,5.031406212013408,7.043116484603313,inf,2.0062812424026815,1.7021065975943253,inf
Rademacher,300,600,15,0.2,10.10211570093543,5.0,17.321004741683556,inf,0.6890704907900008,1.9601078604565918,1.6980081568755632,6.285777389353618,0.11485189468290469,29.253266710294927,1.350652485406162,5.10211570093543,7.218889040748126,inf,2.020423140187086,1.7145917998226525,inf
Partial DCT,300,600,15,0.2,8.51642758254108,5.0,11.772053404051936,inf,0.3691618275618455,1.6988613065401605,0.499996722197246,2.168295563013661,0.033534953599614066,7.496563947483422,0.6271547446964705,3.5164275825410805,3.255625821510856,inf,1.7032855165082161,1.3822759942425837,inf
Spiked ρ=0.3,300,600,15,0.2,29.541360309485107,5.0,320.24751479370036,inf,0.4570295895740937,11.149815236638046,28.815488460083582,30.516482098561656,0.4306409181221873,182.74981463952503,5.095795481427659,24.541360309485107,290.70615448421523,inf,5.908272061897021,10.840648888158196,inf
Spiked ρ=0.5,300,600,15,0.2,30.772451374177166,5.0,628.4349691687504,inf,0.3631227316466266,21.40372201462591,45.276681801717416,46.58418738506887,0.6013227729907494,279.2121478473282,7.772178005355993,25.772451374177166,597.6625177945732,inf,6.1544902748354335,20.421998934283938,inf
Spiked ρ=0.7,300,600,15,0.2,31.803920318095773,5.644714418313536,1957.0507900487462,inf,0.17715688091422854,64.05988023460522,69.16384587023829,69.80430443997705,0.7895642555959399,429.358692934475,11.348648574101697,26.159205899782236,1925.2468697306504,inf,5.634283324398506,61.53489162577309,inf
Spiked ρ=0.9,300,600,15,0.2,32.0409429525558,17.273667962342895,7354.905796273708,inf,0.05789158400983679,236.8643290485148,85.09953777387315,85.3141345985613,0.92886292406001,530.795074782395,13.712451204045804,14.767274990212908,7322.864853321152,inf,1.8549009406922723,229.5471081223916,inf
AR1-Stochastic ρ=0.5,300,600,15,0.2,11.411742274968999,5.0,21.77123272113736,inf,0.6492914168062123,2.2152700993201995,2.1778834910187963,7.484556512542976,0.4734147887318691,38.946263364254335,1.4383558613960497,6.411742274968999,10.35949044616836,inf,2.2823484549938,1.907792184274202,inf
AR1-Stochastic ρ=0.9,300,600,15,0.2,19.41510561819369,5.0,55.68684337554478,inf,0.4964068155557032,3.142078993835841,5.032258902124974,14.858870227622058,0.8488365355328733,141.55223944366278,1.5597494275545183,14.415105618193689,36.27173775735109,inf,3.8830211236387377,2.8682225309843914,inf
Toeplitz ρ=0.9,300,600,15,0.2,26.076430983651086,10.077251215326502,270.4089676933915,inf,0.0992334098488186,21.109573529088237,5.267487373734034,16.286479374469682,0.8753432864930587,126.62429867596362,2.094774961745768,15.999179768324584,244.33253670974042,inf,2.58765316319508,10.369861115692077,inf
Block-Diagonal,300,600,15,0.2,14.54376794297783,5.0,49.25010379103017,inf,0.3933434443931897,4.339131184083145,3.4810976479839892,10.995965251027036,0.7454254351888083,70.84219690656332,1.7067688056211594,9.54376794297783,34.70633584805234,inf,2.908753588595566,3.3863372947180173,inf
