design,fold_pair,same_active_set,jaccard_similarity,hoffman_constant,actual_perturbation,predicted_bound,bound_satisfied,slack_ratio
Gaussian,1-2,False,0.9090909090909091,41.37526238655847,0.045116649090650135,1.6557324437297556,True,36.69892328224539
Gaussian,1-3,False,0.9090909090909091,41.37526238655847,0.048411949950277276,2.002805426849524,True,41.37006315396418
Gaussian,1-4,False,0.9523809523809523,41.37526238655847,0.06003220484574407,2.292985055795476,True,38.1959160368576
Gaussian,1-5,False,0.9523809523809523,41.37526238655847,0.04211679942079209,1.7833175507589367,True,42.34219065275302
Gaussian,2-3,False,0.9090909090909091,41.37526238655847,0.055128968368805584,2.3462735217861512,True,42.559721163107724
Gaussian,2-4,False,0.9523809523809523,41.37526238655847,0.05272595063515534,2.1642080469494602,True,41.04635423124001
Gaussian,2-5,False,0.9523809523809523,41.37526238655847,0.057868363871194664,2.2935469099891024,True,39.63386480209041
Gaussian,3-4,False,0.9523809523809523,41.37526238655847,0.061006235253130106,2.5971310878459652,True,42.57156792366911
Gaussian,3-5,False,0.9523809523809523,41.37526238655847,0.0696625987684662,2.8535965557327505,True,40.96310798305264
Gaussian,4-5,True,1.0,41.37526238655847,0.06891570032514989,2.607593548487851,True,37.83743814812898
Spiked rho=0.5,1-2,False,0.7407407407407407,99.22484903204361,0.1426668523058155,9.056977274908983,True,63.48340296661746
Spiked rho=0.5,1-3,False,0.7407407407407407,99.22484903204361,0.11155428794519143,7.221061871732996,True,64.73136985358043
Spiked rho=0.5,1-4,False,0.8695652173913043,99.22484903204361,0.12334562951503013,8.020246973684905,True,65.02254684838759
Spiked rho=0.5,1-5,False,0.8,99.22484903204361,0.1147027775792709,8.384967304816097,True,73.10169362743862
Spiked rho=0.5,2-3,False,0.7142857142857143,99.22484903204361,0.0931947830480389,6.333676229858371,True,67.96170367812934
Spiked rho=0.5,2-4,False,0.8333333333333334,99.22484903204361,0.11736902025043178,7.882948709578091,True,67.16379409794972
Spiked rho=0.5,2-5,False,0.7692307692307693,99.22484903204361,0.11857515453683903,9.158776525680443,True,77.24026640703205
Spiked rho=0.5,3-4,False,0.8333333333333334,99.22484903204361,0.11091383483376341,7.709100831129123,True,69.5053132252027
Spiked rho=0.5,3-5,False,0.9166666666666666,99.22484903204361,0.08630828499015335,6.545175856659654,True,75.83485012367437
Spiked rho=0.5,4-5,False,0.9090909090909091,99.22484903204361,0.09999373698089234,8.267460668267086,True,82.6797849333994
Spiked rho=0.8,1-2,False,0.9090909090909091,98.14279827168542,0.4467180173924429,19.515684336812487,True,43.68680818098257
Spiked rho=0.8,1-3,False,0.8,98.14279827168542,0.3167274205646314,13.793860905666799,True,43.55120526374515
Spiked rho=0.8,1-4,False,0.9090909090909091,98.14279827168542,0.2077182900311898,10.24379078155691,True,49.315786202643785
Spiked rho=0.8,1-5,False,0.9523809523809523,98.14279827168542,0.19444508200232533,9.747391406085832,True,50.12927714967491
Spiked rho=0.8,2-3,False,0.8076923076923077,98.14279827168542,0.3131990725570786,13.821889082806175,True,44.13132187767645
Spiked rho=0.8,2-4,False,0.9130434782608695,98.14279827168542,0.3663553721164048,16.40836983021279,True,44.788123988527836
Spiked rho=0.8,2-5,False,0.8695652173913043,98.14279827168542,0.3655115766997139,16.144227603921095,True,44.16885437580651
Spiked rho=0.8,3-4,False,0.8076923076923077,98.14279827168542,0.29855400268851845,13.156491538002308,True,44.06737615147127
Spiked rho=0.8,3-5,False,0.84,98.14279827168542,0.2779726265054627,12.342535560626265,True,44.40198200733161
Spiked rho=0.8,4-5,False,0.8695652173913043,98.14279827168542,0.20470393238021994,9.224903456795989,True,45.064612826594484
