Design,d,exact_h2,upper_h2,exact_h1,upper_h1,exact_hinf,upper_hinf,interaction_norm,active_curvature
Gaussian,400,21.390924054928558,21.404743514897714,246.2528081268509,246.2719927077898,20.708488882995166,20.70848888299517,18.859809561417435,1.5718232234011424
Gaussian,450,22.318280980246374,22.330483390458188,272.6400943838367,272.86571471856263,20.708488882995166,20.70848888299517,19.904267386816976,1.5718232234011424
Gaussian,500,23.240223907191016,23.251106678306567,302.7168704280641,302.736055009003,20.708488882995166,20.70848888299517,20.93187362660995,1.5718232234011424
Gaussian,550,23.943233639101283,23.953028827795737,328.13295351684405,328.15213809778294,20.708488882995166,20.70848888299517,21.708914339035715,1.5718232234011424
Gaussian,600,24.74252799351972,24.751266208582773,358.159258096109,358.1784426770479,20.708488882995166,20.70848888299517,22.586601131699926,1.5718232234011424
Gaussian,650,25.377395608962058,25.38538672470621,387.38132409235607,387.40050867329495,20.708488882995166,20.70848888299517,23.27976011296652,1.5718232234011424
Gaussian,700,26.129388331476097,26.13683302209067,413.7815571017619,413.84270407284185,20.708488882995166,20.70848888299517,24.096958566985712,1.5718232234011424
Gaussian,750,26.751503002426798,26.75831031993929,441.79370965198723,441.8128942329261,21.397547562645855,21.397547562645855,24.76966981880353,1.5718232234011424
Gaussian,800,27.407149697159284,27.413450608919685,473.8954860626688,473.9146706436077,21.397547562645855,21.397547562645855,25.476001374667412,1.5718232234011424
Gaussian,850,27.98583512138271,27.99189004290121,510.45682118127155,510.47600576221043,21.397547562645855,21.397547562645855,26.097419028100244,1.5718232234011424
Gaussian,900,28.63229342886072,28.638091420848443,538.4621324832348,538.4813170641737,21.397547562645855,21.397547562645855,26.789357065507378,1.5718232234011424
Gaussian,950,29.32531833318367,29.33116265909898,567.314144207371,567.3333287883099,21.397547562645855,21.397547562645855,27.529011509476675,1.5718232234011424
Gaussian,1000,29.91062250753374,29.9165787242051,595.4829965854761,595.5021811664151,21.397547562645855,21.397547562645855,28.151928074573117,1.5718232234011424
Gaussian,1050,30.482034414383698,30.487782143738226,624.0251824085681,624.044366989507,21.397547562645855,21.397547562645855,28.7582028610694,1.5718232234011424
Gaussian,1100,31.130719652073186,31.13577821697503,654.0884667201768,654.1076513011158,21.397547562645855,21.397547562645855,29.44428733949989,1.5718232234011424
Gaussian,1150,31.77316085477115,31.77789006693384,685.3251008811495,685.3442854620885,21.397547562645855,21.397547562645855,30.12247780081362,1.5718232234011424
Gaussian,1200,32.58458994134269,32.58927636836441,719.3284670783181,719.347651659257,21.397547562645855,21.397547562645855,30.97725465511771,1.5718232234011424
Gaussian,1250,33.183661648368734,33.18808546695242,746.8649199309427,746.8841045118817,21.397547562645855,21.397547562645855,31.606619381327636,1.5718232234011424
Gaussian,1300,33.77928740486932,33.78322909623594,780.7567317814074,780.7759163623464,21.397547562645855,21.397547562645855,32.23097795480521,1.5718232234011424
Gaussian,1350,34.175760635115,34.179477641018835,811.4229075087476,811.4420920896865,21.397547562645855,21.397547562645855,32.6460727127672,1.5718232234011424
Gaussian,1400,34.61925034661888,34.62280068167639,839.9751592442979,839.9943438252368,21.397547562645855,21.397547562645855,33.109933536590916,1.5718232234011424
Gaussian,1450,35.106883333321406,35.11037383536661,873.4013507943364,873.4205353752753,21.397547562645855,21.397547562645855,33.619454525818426,1.5718232234011424
Gaussian,1500,35.55040937189477,35.55373294518379,904.093626261361,904.1128108423,21.397547562645855,21.397547562645855,34.08221380855158,1.5718232234011424
Gaussian,1550,35.94348917303687,35.94689131025212,935.2661816427911,935.2853662237301,21.397547562645855,21.397547562645855,34.492149347720506,1.5718232234011424
Gaussian,1600,36.386123446515306,36.38961382543683,964.8590609130688,964.8782454940077,21.397547562645855,21.397547562645855,34.953302649661026,1.5718232234011424
Gaussian,1650,36.88821524713085,36.89181597613942,994.8316144262776,994.8507990072166,21.397547562645855,21.397547562645855,35.4758432989508,1.5718232234011424
Gaussian,1700,37.38901709374061,37.39258689345767,1018.9984089007077,1019.0175934816466,21.397547562645855,21.397547562645855,35.99631823310766,1.5718232234011424
Gaussian,1750,37.8818636061635,37.88508330647681,1044.43673391171,1044.455918492649,21.397547562645855,21.397547562645855,36.50765548337861,1.5718232234011424
Gaussian,1800,38.56715081716028,38.570592597383985,1075.620330109634,1075.6395146905732,21.397547562645855,21.397547562645855,37.21854356456939,1.5718232234011424
Gaussian,1850,39.24840289650207,39.251816110653515,1105.5736698282947,1105.5928544092337,21.397547562645855,21.397547562645855,37.92406148791207,1.5718232234011424
Gaussian,1900,39.70943199159871,39.71324248834003,1138.8148275067856,1138.8340120877247,21.397547562645855,21.397547562645855,38.40144529431246,1.5718232234011424
Gaussian,1950,40.114761417179636,40.11864507890855,1166.5958431060353,1166.6150276869744,21.397547562645855,21.397547562645855,38.820549387171354,1.5718232234011424
Gaussian,2000,40.5107477453938,40.51482615083627,1192.9244712376694,1192.9436558186085,21.397547562645855,21.397547562645855,39.22984208210458,1.5718232234011424
